time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,city
2025-10-21 21:00:00,25.0,8.0,34.0,0.0,,360.0,10.0,,1008.7,,2.0,Mexico City
2025-10-21 22:00:00,24.0,8.0,36.0,0.0,,20.0,12.0,,1007.3,,2.0,Mexico City
2025-10-21 23:00:00,23.0,9.0,41.0,0.0,,20.0,14.0,,1006.7,,2.0,Mexico City
2025-10-22 00:00:00,20.9,11.8,56.0,0.0,,5.0,14.8,,1006.6,,2.0,Mexico City
2025-10-22 01:00:00,19.6,11.6,60.0,0.0,,349.0,14.8,,1007.2,,2.0,Mexico City
2025-10-22 02:00:00,18.2,11.5,65.0,0.0,,329.0,14.8,,1007.8,,2.0,Mexico City
2025-10-22 03:00:00,17.6,10.9,65.0,0.0,,317.0,11.1,,1008.7,,2.0,Mexico City
2025-10-22 04:00:00,16.9,11.4,70.0,0.0,,316.0,11.1,,1009.6,,2.0,Mexico City
2025-10-22 05:00:00,16.2,11.6,74.0,0.0,,315.0,11.1,,1010.4,,2.0,Mexico City
2025-10-22 06:00:00,15.5,11.9,79.0,0.0,,315.0,9.3,,1011.2,,2.0,Mexico City
2025-10-22 07:00:00,15.0,11.8,81.0,0.0,,318.0,9.3,,1011.3,,2.0,Mexico City
2025-10-22 08:00:00,14.5,11.6,83.0,0.0,,323.0,9.3,,1011.5,,2.0,Mexico City
2025-10-22 09:00:00,14.0,11.3,84.0,0.0,,328.0,7.4,,1011.6,,2.0,Mexico City
2025-10-22 10:00:00,13.7,11.6,87.0,0.0,,324.0,7.4,,1013.0,,2.0,Mexico City
2025-10-22 11:00:00,13.3,11.7,90.0,0.0,,319.0,7.4,,1014.4,,2.0,Mexico City
2025-10-22 12:00:00,13.8,11.7,87.0,0.0,,319.0,7.4,,1015.1,,2.0,Mexico City
2025-10-22 13:00:00,14.7,11.8,83.0,0.0,,321.0,7.4,,1016.4,,2.0,Mexico City
2025-10-22 14:00:00,15.5,12.1,80.0,0.0,,324.0,7.4,,1017.6,,2.0,Mexico City
